PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;vrouw;1;1;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;12;7;13;12;11
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;19;16;17;18;21
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;man;0;0;0;8;24
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;vrouw;0;0;0;18;52
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;man;0;0;0;8;9
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;vrouw;0;0;0;8;21
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;man;16;9;10;18;15
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;vrouw;11;14;15;14;16
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;man;0;0;0;4;7
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;vrouw;0;0;0;3;2
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;man;0;1;3;5;4
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;vrouw;2;6;5;7;5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;1;0;0;0;1
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;vrouw;0;0;0;1;0
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;man;0;0;20;18;26
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;vrouw;0;0;15;23;17
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;0;0;0;1;0
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;20;24;27;25;18
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;vrouw;20;18;12;13;14
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;man;52;55;52;60;53
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;vrouw;19;18;19;19;23
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;man;41;31;37;30;24
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;vrouw;2;4;4;7;6
